Training started for V3c
============================================================
Epoch 161: Train=0.001915, Val=0.000079, Data=0.001390, Phys=552.139691, Lambda=9.50e-07, LR=1.00e-05
Epoch 162: Train=0.001906, Val=0.000074, Data=0.001369, Phys=553.902355, Lambda=9.70e-07, LR=1.00e-05
Epoch 163: Train=0.001922, Val=0.000076, Data=0.001378, Phys=549.533890, Lambda=9.90e-07, LR=1.00e-05
Epoch 164: Train=0.001929, Val=0.000081, Data=0.001374, Phys=549.540818, Lambda=1.01e-06, LR=1.00e-05
Epoch 165: Train=0.001914, Val=0.000075, Data=0.001348, Phys=548.673117, Lambda=1.03e-06, LR=1.00e-05
Epoch 166: Train=0.001920, Val=0.000074, Data=0.001343, Phys=548.879740, Lambda=1.05e-06, LR=1.00e-05
Epoch 167: Train=0.001936, Val=0.000069, Data=0.001350, Phys=546.203396, Lambda=1.07e-06, LR=1.00e-05
Epoch 168: Train=0.001937, Val=0.000072, Data=0.001340, Phys=545.120639, Lambda=1.10e-06, LR=1.00e-05
Epoch 169: Train=0.001931, Val=0.000068, Data=0.001324, Phys=542.784552, Lambda=1.12e-06, LR=1.00e-05
Epoch 170: Train=0.001931, Val=0.000070, Data=0.001310, Phys=543.927651, Lambda=1.14e-06, LR=1.00e-05
Epoch 171: Train=0.001954, Val=0.000070, Data=0.001322, Phys=541.750241, Lambda=1.17e-06, LR=1.00e-05
Epoch 172: Train=0.001958, Val=0.000065, Data=0.001317, Phys=538.959594, Lambda=1.19e-06, LR=1.00e-05
Epoch 173: Train=0.001957, Val=0.000071, Data=0.001302, Phys=539.088429, Lambda=1.21e-06, LR=1.00e-05
Epoch 174: Train=0.001969, Val=0.000070, Data=0.001305, Phys=535.684471, Lambda=1.24e-06, LR=1.00e-05
Epoch 175: Train=0.001979, Val=0.000070, Data=0.001300, Phys=537.024346, Lambda=1.27e-06, LR=1.00e-05
Epoch 176: Train=0.001974, Val=0.000071, Data=0.001285, Phys=533.073193, Lambda=1.29e-06, LR=1.00e-05
Epoch 177: Train=0.001994, Val=0.000065, Data=0.001291, Phys=533.228030, Lambda=1.32e-06, LR=1.00e-05
Epoch 178: Train=0.001982, Val=0.000065, Data=0.001267, Phys=530.751174, Lambda=1.35e-06, LR=1.00e-05
Epoch 179: Train=0.002009, Val=0.000065, Data=0.001280, Phys=530.949290, Lambda=1.37e-06, LR=1.00e-05
Epoch 180: Train=0.002012, Val=0.000065, Data=0.001275, Phys=525.952528, Lambda=1.40e-06, LR=1.00e-05
Epoch 181: Train=0.002016, Val=0.000065, Data=0.001263, Phys=526.343268, Lambda=1.43e-06, LR=1.00e-05
Epoch 182: Train=0.002038, Val=0.000069, Data=0.001270, Phys=525.991322, Lambda=1.46e-06, LR=1.00e-05
Epoch 183: Train=0.002043, Val=0.000069, Data=0.001263, Phys=523.111758, Lambda=1.49e-06, LR=1.00e-05
Epoch 184: Train=0.002058, Val=0.000065, Data=0.001266, Phys=520.964265, Lambda=1.52e-06, LR=1.00e-05
Epoch 185: Train=0.002073, Val=0.000061, Data=0.001267, Phys=518.943611, Lambda=1.55e-06, LR=1.00e-05
Epoch 186: Train=0.002065, Val=0.000062, Data=0.001244, Phys=517.952463, Lambda=1.58e-06, LR=1.00e-05
Epoch 187: Train=0.002091, Val=0.000059, Data=0.001254, Phys=517.173537, Lambda=1.62e-06, LR=1.00e-05
Epoch 188: Train=0.002087, Val=0.000066, Data=0.001236, Phys=514.842273, Lambda=1.65e-06, LR=1.00e-05
Epoch 189: Train=0.002107, Val=0.000057, Data=0.001245, Phys=511.472273, Lambda=1.69e-06, LR=1.00e-05
Epoch 190: Train=0.002112, Val=0.000064, Data=0.001233, Phys=511.051357, Lambda=1.72e-06, LR=1.00e-05
Epoch 191: Train=0.002125, Val=0.000062, Data=0.001232, Phys=508.910072, Lambda=1.76e-06, LR=1.00e-05
Epoch 192: Train=0.002147, Val=0.000060, Data=0.001240, Phys=505.661244, Lambda=1.79e-06, LR=1.00e-05
Epoch 193: Train=0.002160, Val=0.000066, Data=0.001239, Phys=503.804745, Lambda=1.83e-06, LR=1.00e-05
Epoch 194: Train=0.002173, Val=0.000062, Data=0.001231, Phys=504.647136, Lambda=1.87e-06, LR=1.00e-05
Epoch 195: Train=0.002186, Val=0.000064, Data=0.001230, Phys=501.824069, Lambda=1.91e-06, LR=1.00e-05
Epoch 196: Train=0.002194, Val=0.000057, Data=0.001223, Phys=499.056746, Lambda=1.94e-06, LR=1.00e-05
Epoch 197: Train=0.002214, Val=0.000062, Data=0.001232, Phys=494.806402, Lambda=1.99e-06, LR=1.00e-05
Epoch 198: Train=0.002222, Val=0.000058, Data=0.001215, Phys=496.976221, Lambda=2.03e-06, LR=1.00e-05
